Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,27.549999,27.940001,27.549999,27.92,10788400,27.023616
2017-02-02,27.01,27.58,26.98,27.559999,11199200,26.675173
2017-02-01,27.23,27.76,27.23,27.76,10012100,26.868753
2017-01-31,26.52,27.25,26.51,27.23,10641900,26.355768
2017-01-30,27.040001,27.10,26.950001,27.09,6143000,26.220264
2017-01-27,26.940001,27.08,26.809999,27.049999,7378700,26.181547
2017-01-26,27.57,27.58,26.639999,26.719999,10392600,25.862142
2017-01-25,27.23,27.389999,27.10,27.290001,4791700,26.413843
2017-01-24,26.93,27.129999,26.65,26.99,9280800,26.123474
2017-01-23,27.10,27.15,26.870001,27.10,5507100,26.229943
2017-01-20,27.389999,27.42,26.870001,27.07,10125600,26.200905
2017-01-19,28.23,28.309999,27.809999,27.91,3693000,27.013937
2017-01-18,28.65,28.66,28.43,28.50,6141800,27.584995
2017-01-17,28.690001,28.690001,28.379999,28.469999,7320600,27.555957
2017-01-13,28.360001,28.59,28.200001,28.58,5159800,27.662426
2017-01-12,28.120001,28.32,28.02,28.24,8549000,27.333342
2017-01-11,28.469999,28.629999,27.969999,28.18,7149700,27.275269
2017-01-10,28.719999,28.809999,28.610001,28.75,5332200,27.826968
2017-01-09,28.33,28.58,28.27,28.530001,4158600,27.614032
2017-01-06,28.41,28.549999,28.33,28.43,6055500,27.517242
2017-01-05,28.32,28.76,28.25,28.690001,5583000,27.768895
2017-01-04,27.709999,28.00,27.709999,27.93,4562500,27.033295
2017-01-03,27.530001,27.74,27.450001,27.709999,5130800,26.820357
2016-12-30,27.540001,27.559999,27.25,27.32,3724300,26.442879
2016-12-29,27.370001,27.57,27.27,27.360001,4589900,26.481596
2016-12-28,27.52,27.540001,27.190001,27.209999,4793800,26.33641
2016-12-27,27.379999,27.50,27.23,27.26,2983400,26.384806
2016-12-23,27.27,27.41,27.17,27.309999,2983700,26.4332
2016-12-22,27.17,27.26,27.059999,27.18,12610600,26.307374
2016-12-21,27.02,27.18,26.92,27.059999,12246100,26.191226
2016-12-20,27.08,27.190001,26.92,27.02,12312700,26.152511
2016-12-19,27.280001,27.43,26.92,26.950001,15964800,26.084759
2016-12-16,27.99,28.01,27.67,27.860001,8479000,26.965543
2016-12-15,27.43,27.790001,27.40,27.700001,12048000,26.81068
2016-12-14,27.75,27.780001,27.26,27.290001,10803400,26.413843
2016-12-13,27.290001,27.74,27.23,27.700001,10627100,26.81068
2016-12-12,26.83,27.09,26.790001,26.940001,7253800,26.07508
2016-12-09,26.709999,27.42,26.700001,27.16,8677300,26.288016
2016-12-08,26.129999,26.32,26.02,26.27,7212800,25.42659
2016-12-07,26.059999,26.059999,25.549999,25.85,11604700,25.020075
2016-12-06,26.02,26.059999,25.860001,26.01,5151700,25.174938
2016-12-05,26.030001,26.040001,25.68,25.82,7953400,24.991037
2016-12-02,25.940001,26.110001,25.860001,25.889999,8836800,25.058789
2016-12-01,26.209999,26.26,25.76,25.809999,9000100,24.981358
2016-11-30,26.639999,26.700001,26.10,26.139999,10601000,25.300763
2016-11-29,26.84,26.98,26.700001,26.709999,6372300,25.852463
2016-11-28,26.75,26.98,26.629999,26.73,6368400,25.871821
2016-11-25,27.23,27.23,26.940001,27.10,9569300,26.229943
2016-11-23,26.43,26.43,25.879999,26.370001,13527200,25.52338
2016-11-22,27.129999,27.16,26.379999,26.43,13821400,25.581453
2016-11-21,27.24,27.41,27.219999,27.34,4236100,26.462237
2016-11-18,27.049999,27.27,27.00,27.120001,6994300,26.249301
2016-11-17,27.40,27.51,27.33,27.35,7908300,26.471916
2016-11-16,27.440001,27.68,27.370001,27.40,6476600,26.52031
2016-11-15,27.43,27.75,27.360001,27.629999,3514700,26.742926
2016-11-14,27.57,27.85,27.530001,27.65,5438900,26.762284
2016-11-11,27.610001,28.370001,27.52,27.98,12122700,27.081689
2016-11-10,27.40,28.209999,27.40,27.68,17307700,26.791322
2016-11-09,28.700001,29.16,28.370001,28.950001,9201300,28.020548
2016-11-08,28.00,28.10,27.92,27.99,4206900,27.091368
2016-11-07,27.74,27.959999,27.74,27.889999,3647200,26.994579
2016-11-04,27.719999,27.870001,27.629999,27.66,5700400,26.771963
2016-11-03,28.299999,28.34,27.66,27.74,4477300,26.849395
2016-11-02,28.450001,28.48,28.120001,28.209999,6065900,27.304304
2016-11-01,28.25,28.27,27.82,27.99,5870600,27.091368
2016-10-31,28.50,28.59,28.299999,28.32,4552900,27.410773
2016-10-28,28.440001,28.77,28.08,28.60,13840700,27.681785
2016-10-27,30.00,30.030001,28.00,28.540001,20211200,27.623711
2016-10-26,29.450001,29.719999,29.389999,29.59,3795900,28.64
2016-10-25,29.90,30.040001,29.40,29.790001,8936800,28.83358
2016-10-24,30.24,30.27,30.02,30.08,4133600,29.114268
2016-10-21,30.68,30.860001,30.610001,30.719999,2681500,29.73372
2016-10-20,30.780001,31.139999,30.76,31.00,3004600,30.004731
2016-10-19,30.90,31.02,30.77,30.780001,3033100,29.791795
2016-10-18,31.389999,31.41,31.16,31.27,3923100,30.266063
2016-10-17,30.32,31.10,30.27,30.73,8283500,29.743399
2016-10-14,30.719999,30.84,30.57,30.59,4252600,29.607895
2016-10-13,30.42,30.959999,30.40,30.84,3447800,29.849868
2016-10-12,30.98,31.08,30.690001,30.799999,3401000,29.811152
2016-10-11,31.559999,31.690001,31.049999,31.120001,5618600,30.120879
2016-10-10,32.02,32.200001,32.02,32.060001,3694000,31.030701
2016-10-07,32.080002,32.349998,32.00,32.290001,4009000,31.253316
2016-10-06,32.299999,32.439999,32.169998,32.259998,3513900,31.224277
2016-10-05,32.57,32.759998,32.509998,32.599998,4325300,31.553361
2016-10-04,32.970001,33.27,32.34,32.57,5415400,31.524325
2016-10-03,32.860001,33.049999,32.720001,33.00,3088600,31.94052
2016-09-30,32.91,33.169998,32.860001,32.860001,4557400,31.805016
2016-09-29,33.439999,33.470001,32.77,33.049999,6969900,31.988914
2016-09-28,33.990002,34.09,33.73,33.82,8518000,32.734194
2016-09-27,33.049999,33.630001,32.98,33.610001,3677900,32.530937
2016-09-26,33.669998,33.709999,33.43,33.549999,4243300,32.472862
2016-09-23,33.950001,34.150002,33.889999,33.970001,3795000,32.879379
2016-09-22,34.23,34.34,34.110001,34.279999,4547900,33.179424
2016-09-21,33.48,33.779999,33.189999,33.75,3941500,32.666441
2016-09-20,33.98,34.060001,33.59,33.650002,3429700,32.569653
2016-09-19,33.610001,33.740002,33.459999,33.52,3330100,32.443826
2016-09-16,34.119999,34.150002,33.68,33.82,5154700,32.734194
2016-09-15,33.189999,33.82,33.00,33.66,6016900,32.579331
2016-09-14,32.91,33.27,32.830002,33.099998,6971700,32.037308
2016-09-13,32.860001,32.990002,32.48,32.740002,5833700,31.688869
2016-09-12,32.529999,33.34,32.470001,33.240002,3603500,32.172817
2016-09-09,32.849998,32.849998,32.189999,32.200001,4467100,31.166205
2016-09-08,32.830002,33.080002,32.82,33.040001,6069400,31.979237
2016-09-07,33.07,33.209999,32.959999,33.18,4487400,32.114742
2016-09-06,33.18,33.279999,33.040001,33.09,3789100,32.027631
2016-09-02,33.080002,33.48,32.959999,33.310001,3646800,32.240569
2016-09-01,32.369999,32.689999,32.360001,32.599998,6531000,31.553361
2016-08-31,32.720001,32.860001,32.610001,32.810001,4773600,31.756622
2016-08-30,33.150002,33.310001,33.07,33.209999,4694200,32.143777
2016-08-29,33.110001,33.419998,33.049999,33.299999,2478400,32.230888
2016-08-26,33.150002,33.450001,32.779999,33.049999,4839100,31.988914
2016-08-25,33.299999,33.560001,33.119999,33.23,3894900,32.163136
2016-08-24,34.150002,34.509998,33.419998,33.50,5432000,32.424468
2016-08-23,33.98,34.07,33.720001,33.830002,4632300,32.743875
2016-08-22,33.560001,33.990002,33.560001,33.849998,6350100,32.763229
2016-08-19,33.529999,33.57,33.310001,33.560001,3266300,32.482543
2016-08-18,33.41,33.689999,33.380001,33.57,3092200,32.49222
2016-08-17,33.560001,33.700001,33.330002,33.619999,3680300,32.540614
2016-08-16,33.50,33.720001,33.450001,33.549999,3945200,32.472862
2016-08-15,33.650002,33.720001,33.419998,33.439999,3672900,32.366393
2016-08-12,33.57,33.75,33.380001,33.540001,5102500,32.463184
2016-08-11,33.689999,33.970001,33.610001,33.810001,3568100,32.724516
2016-08-10,33.759998,33.759998,33.50,33.549999,3310100,32.472862
2016-08-09,34.080002,34.279999,34.049999,34.139999,4840100,32.608367
2016-08-08,34.18,34.619999,34.150002,34.50,6084900,32.952217
2016-08-05,34.98,35.040001,34.18,34.279999,11262600,32.742085
2016-08-04,34.07,34.459999,34.029999,34.299999,6766500,32.761189
2016-08-03,33.759998,34.259998,33.759998,34.09,9399900,32.560611
2016-08-02,34.00,34.34,33.830002,34.209999,7691500,32.675226
2016-08-01,33.66,34.07,33.66,33.84,6605200,32.321827
2016-07-29,34.009998,34.34,33.470001,34.139999,11506500,32.608367
2016-07-28,32.540001,34.349998,32.509998,34.290001,20001300,32.751639
2016-07-27,31.049999,31.57,31.040001,31.540001,9422900,30.125013
2016-07-26,31.15,31.200001,30.75,30.91,8335500,29.523276
2016-07-25,31.129999,31.280001,30.889999,31.15,8189800,29.752508
2016-07-22,30.440001,31.23,30.40,31.129999,12323100,29.733405
2016-07-21,30.370001,30.620001,30.370001,30.530001,9556300,29.160325
2016-07-20,30.299999,30.73,30.299999,30.57,5953000,29.198529
2016-07-19,30.309999,30.440001,30.17,30.299999,7143600,28.940642
2016-07-18,30.48,30.629999,30.450001,30.549999,5850000,29.179426
2016-07-15,30.34,30.459999,30.120001,30.24,7349700,28.883334
2016-07-14,30.48,30.50,30.16,30.34,9503200,28.978848
2016-07-13,30.309999,30.48,30.15,30.16,9620700,28.806923
2016-07-12,29.870001,30.309999,29.83,30.200001,11359300,28.84513
2016-07-11,29.93,30.200001,29.85,29.969999,3773700,28.625447
2016-07-08,29.93,30.290001,29.90,30.110001,3788300,28.759167
2016-07-07,30.299999,30.41,29.98,30.110001,3846400,28.759167
2016-07-06,29.77,30.110001,29.68,30.09,4352100,28.740064
2016-07-05,29.98,30.290001,29.98,30.15,4031800,28.797372
2016-07-01,30.190001,30.459999,30.120001,30.42,4066700,29.055259
2016-06-30,29.629999,30.24,29.59,30.190001,5627500,28.835578
2016-06-29,29.68,30.120001,29.41,29.85,6757400,28.510831
2016-06-28,28.459999,29.17,28.389999,29.09,5927800,27.784927
2016-06-27,27.91,28.049999,27.57,27.950001,8197400,26.696072
2016-06-24,27.65,28.76,27.610001,27.860001,10567300,26.61011
2016-06-23,29.120001,29.309999,28.799999,29.290001,4197000,27.975955
2016-06-22,28.98,29.190001,28.639999,28.700001,6579700,27.412424
2016-06-21,28.75,28.90,28.57,28.639999,4146900,27.355115
2016-06-20,28.889999,28.90,28.40,28.42,5178000,27.144986
2016-06-17,27.75,27.75,27.440001,27.58,8598600,26.342671
2016-06-16,27.16,27.68,26.969999,27.629999,6182600,26.390427
2016-06-15,27.57,27.76,27.299999,27.370001,4787600,26.142093
2016-06-14,27.16,27.32,26.99,27.26,6096200,26.037027
2016-06-13,27.690001,27.91,27.559999,27.60,3772600,26.361774
2016-06-10,28.17,28.219999,27.75,27.969999,5556500,26.715173
2016-06-09,29.200001,29.370001,28.92,28.959999,3629300,27.660758
2016-06-08,29.91,29.91,29.60,29.639999,3686100,28.310252
2016-06-07,29.879999,30.00,29.82,29.85,4011000,28.510831
2016-06-06,29.77,30.030001,29.77,29.870001,2787400,28.529935
2016-06-03,29.84,29.90,29.549999,29.73,2759200,28.396214
2016-06-02,29.40,29.74,29.34,29.67,3038500,28.338906
2016-06-01,29.360001,29.559999,29.34,29.450001,4156000,28.128777
2016-05-31,30.09,30.200001,29.559999,29.700001,4573200,28.367561
2016-05-27,29.58,29.91,29.58,29.879999,4899000,28.539484
2016-05-26,29.68,30.09,29.67,29.950001,5475200,28.606345
2016-05-25,29.92,30.09,29.76,29.98,4727700,28.634998
2016-05-24,29.040001,29.530001,29.030001,29.48,3534300,28.15743
2016-05-23,28.690001,28.82,28.540001,28.65,3350100,27.364667
2016-05-20,28.49,28.83,28.48,28.690001,3643100,27.402873
