Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,75.300003,75.449997,74.940002,75.260002,13851000,37.630001
2017-02-02,75.440002,75.639999,75.010002,75.089996,15387800,37.544998
2017-02-01,75.290001,76.190002,75.25,75.610001,18004000,37.805
2017-01-31,75.050003,75.489998,74.470001,75.419998,26925600,37.709999
2017-01-30,75.849998,75.910004,74.50,75.339996,26341800,37.669998
2017-01-27,75.489998,75.989998,74.610001,75.949997,23326800,37.974998
2017-01-26,73.120003,76.870003,73.00,75.50,52161400,37.75
2017-01-25,73.610001,73.879997,73.110001,73.440002,26600000,36.720001
2017-01-24,73.199997,73.790001,73.00,73.599998,17553000,36.799999
2017-01-23,73.550003,73.739998,72.889999,73.260002,16937200,36.630001
2017-01-20,73.07,73.610001,72.739998,73.57,25014600,36.785
2017-01-19,72.18,72.949997,72.129997,72.610001,14471000,36.305
2017-01-18,72.669998,72.769997,72.190002,72.290001,18013800,36.145
2017-01-17,72.209999,72.739998,71.82,72.559998,21143400,36.279999
2017-01-13,72.00,72.940002,71.760002,72.769997,23293600,36.384998
2017-01-12,71.599998,71.669998,70.830002,71.419998,14599600,35.709999
2017-01-11,70.730003,71.739998,70.699997,71.709999,23325000,35.855
2017-01-10,70.620003,71.760002,70.449997,70.919998,24547200,35.459999
2017-01-09,70.139999,70.959999,70.050003,70.830002,18135400,35.415001
2017-01-06,70.209999,70.540001,69.82,70.269997,13528000,35.134998
2017-01-05,69.589996,70.260002,69.400002,70.150002,16986000,35.075001
2017-01-04,69.510002,70.260002,69.18,69.870003,22010800,34.935001
2017-01-03,69.669998,69.889999,68.230003,69.050003,23670400,34.525002
2016-12-30,69.949997,70.050003,68.93,69.050003,24376800,34.525002
2016-12-29,70.400002,70.660004,69.970001,70.089996,11987000,34.907498
2016-12-28,70.860001,71.00,70.349998,70.449997,9248400,35.086792
2016-12-27,70.800003,71.32,70.50,70.870003,6139200,35.295971
2016-12-23,71.010002,71.080002,70.459999,70.650002,8513600,35.186402
2016-12-22,70.589996,71.019997,70.220001,71.019997,18988600,35.370674
2016-12-21,69.470001,71.110001,69.470001,70.830002,11220000,35.276049
2016-12-20,70.32,71.199997,69.980003,71.010002,20764400,35.365696
2016-12-19,70.160004,70.440002,69.769997,70.150002,14040200,34.937383
2016-12-16,70.209999,70.410004,69.550003,69.860001,29901200,34.792951
2016-12-15,70.18,70.639999,69.610001,69.879997,20198200,34.80291
2016-12-14,69.940002,70.690002,69.639999,70.019997,20540600,34.872635
2016-12-13,69.07,70.230003,68.93,69.980003,18628400,34.852717
2016-12-12,69.029999,69.279999,68.510002,69.00,14967000,34.364638
2016-12-09,69.470001,69.480003,68.93,69.449997,17161800,34.588754
2016-12-08,69.169998,69.480003,68.940002,69.230003,17552600,34.479188
2016-12-07,68.760002,69.43,68.07,69.330002,21098800,34.528992
2016-12-06,68.620003,68.980003,68.220001,68.699997,21342600,34.215225
2016-12-05,69.019997,69.32,68.379997,68.68,19691200,34.205266
2016-12-02,69.949997,70.330002,68.639999,68.779999,26722800,34.255069
2016-12-01,69.410004,70.050003,69.230003,69.860001,19346800,34.792951
2016-11-30,70.080002,70.279999,69.25,69.510002,23009000,34.618639
2016-11-29,68.50,70.220001,68.279999,70.139999,30491200,34.932401
2016-11-28,68.790001,69.00,68.019997,68.309998,19572400,34.02099
2016-11-25,68.93,69.239998,68.790001,69.160004,6963600,34.444326
2016-11-23,69.110001,69.919998,68.919998,68.959999,18863000,34.344716
2016-11-22,68.260002,69.160004,68.199997,69.019997,26432800,34.374597
2016-11-21,68.330002,68.709999,67.970001,68.199997,17255200,33.966206
2016-11-18,68.230003,68.599998,67.93,68.339996,20925200,34.035931
