Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,31.459999,31.620001,31.16,31.40,7520500,31.214991
2017-02-02,31.530001,31.59,31.290001,31.459999,4731000,31.274637
2017-02-01,31.32,31.75,31.32,31.620001,7435000,31.433696
2017-01-31,31.200001,31.440001,31.049999,31.379999,5170600,31.195109
2017-01-30,31.280001,31.40,31.00,31.370001,9097500,31.185169
2017-01-27,31.139999,31.52,30.879999,31.290001,8259000,31.105641
2017-01-26,30.43,31.610001,30.309999,31.00,12695500,30.817349
2017-01-25,30.370001,30.440001,30.17,30.299999,5237500,30.121472
2017-01-24,30.110001,30.299999,29.889999,30.280001,4774700,30.101592
2017-01-23,30.059999,30.17,29.82,30.00,5811600,29.823241
2017-01-20,29.879999,30.129999,29.84,30.049999,6710600,29.872945
2017-01-19,30.16,30.370001,29.709999,29.799999,9174400,29.624418
2017-01-18,30.01,30.33,29.92,30.27,7185800,30.09165
2017-01-17,29.889999,30.110001,29.860001,29.93,4861800,29.753653
2017-01-13,29.77,30.09,29.620001,30.030001,5500600,29.853065
2017-01-12,30.049999,30.07,29.67,29.809999,6010300,29.63436
2017-01-11,29.719999,30.10,29.59,30.08,8220900,29.902769
2017-01-10,29.58,30.08,29.25,29.67,8469300,29.495185
2017-01-09,29.58,29.66,29.25,29.469999,6543300,29.296363
2017-01-06,29.030001,29.60,28.85,29.52,8338400,29.346069
2017-01-05,28.83,29.17,28.65,29.00,6325400,28.829133
2017-01-04,28.879999,29.190001,28.76,29.02,8645600,28.849015
2017-01-03,28.42,29.040001,28.27,28.719999,10597900,28.550782
2016-12-30,28.290001,28.370001,27.92,28.040001,6161200,27.87479
2016-12-29,28.60,28.610001,28.209999,28.280001,5835600,28.113376
2016-12-28,28.52,28.620001,28.33,28.450001,6370100,28.282374
2016-12-27,28.450001,28.65,28.32,28.540001,4924000,28.371844
2016-12-23,28.35,28.48,28.24,28.379999,4032000,28.212785
2016-12-22,26.530001,28.469999,26.530001,28.43,7453800,28.262491
2016-12-21,28.16,28.459999,27.90,28.450001,5902500,28.282374
2016-12-20,28.280001,28.48,28.049999,28.18,5098700,28.013964
2016-12-19,28.10,28.299999,27.940001,28.120001,5850400,27.954318
2016-12-16,28.049999,28.49,27.870001,28.030001,11759800,27.864849
2016-12-15,28.200001,28.32,27.67,27.99,15071000,27.825083
2016-12-14,27.24,28.190001,27.059999,28.02,22334100,27.854907
2016-12-13,26.299999,27.040001,26.280001,27.040001,17486800,26.880682
2016-12-12,27.92,27.99,26.120001,26.34,26683500,26.184805
2016-12-09,28.620001,30.42,27.540001,28.209999,41508700,28.043786
2016-12-08,28.24,28.66,28.139999,28.639999,10707300,28.471253
2016-12-07,27.48,28.139999,27.389999,28.110001,10107900,27.944377
2016-12-06,27.540001,27.67,27.25,27.50,12706300,27.337971
2016-12-05,27.540001,27.610001,26.82,27.559999,13905700,27.397617
2016-12-02,28.33,28.33,27.200001,27.40,10884800,27.238559
2016-12-01,28.07,28.43,27.969999,28.200001,8997600,28.033847
2016-11-30,28.389999,28.540001,28.110001,28.110001,9929000,27.944377
2016-11-29,28.42,28.52,28.17,28.469999,7374600,28.302255
2016-11-28,28.24,28.50,28.120001,28.309999,7427000,28.143198
2016-11-25,28.34,28.440001,28.24,28.360001,3017500,28.192904
2016-11-23,28.280001,28.49,28.16,28.40,5235100,28.232667
2016-11-22,27.889999,28.370001,27.780001,28.27,6961900,28.103434
2016-11-21,27.780001,27.879999,27.639999,27.799999,4766600,27.636202
2016-11-18,27.82,28.00,27.73,27.82,9043700,27.656085
2016-11-17,27.610001,27.93,27.43,27.92,8210500,27.755496
2016-11-16,27.450001,27.65,27.360001,27.540001,5694300,27.377736
2016-11-15,27.51,27.59,27.370001,27.450001,8671300,27.288266
2016-11-14,27.10,27.549999,27.10,27.52,11503900,27.357853
2016-11-11,27.120001,27.209999,26.700001,27.139999,11671500,26.980091
2016-11-10,27.450001,27.77,27.09,27.16,13125600,26.999974
2016-11-09,26.57,27.540001,26.40,27.459999,14749600,27.298205
2016-11-08,27.459999,27.459999,26.959999,27.09,12120700,26.930386
2016-11-07,27.42,27.43,27.120001,27.389999,13183200,27.228618
2016-11-04,27.49,27.700001,26.90,26.940001,15951500,26.781271
2016-11-03,26.76,27.84,26.700001,27.709999,29028600,27.546732
2016-11-02,26.280001,26.280001,25.73,25.83,12849000,25.67781
2016-11-01,26.26,26.309999,25.950001,26.190001,13792400,26.03569
2016-10-31,26.32,26.549999,26.209999,26.27,13676600,26.115218
2016-10-28,26.129999,26.34,26.08,26.25,9204400,26.095336
2016-10-27,26.450001,26.530001,25.99,26.110001,9854600,25.956161
2016-10-26,25.629999,26.450001,25.51,26.40,17805200,26.244451
2016-10-25,25.59,25.700001,25.469999,25.559999,8028900,25.4094
2016-10-24,26.049999,26.219999,25.33,25.57,15518800,25.419342
2016-10-21,25.08,26.030001,25.01,25.83,21050800,25.67781
2016-10-20,25.120001,25.40,24.959999,25.27,18001900,25.12111
2016-10-19,25.02,25.16,24.93,25.120001,8852800,24.971994
2016-10-18,24.889999,25.10,24.780001,24.959999,10781100,24.812935
2016-10-17,24.75,24.809999,24.639999,24.68,8475600,24.534586
2016-10-14,24.620001,24.91,24.549999,24.73,9448500,24.584291
2016-10-13,24.33,24.66,24.219999,24.559999,8737300,24.415292
2016-10-12,24.639999,24.66,24.440001,24.549999,7649000,24.405351
2016-10-11,24.73,24.77,24.49,24.639999,14842300,24.494821
2016-10-10,24.43,24.75,24.43,24.709999,5962100,24.564408
2016-10-07,24.620001,24.68,24.23,24.35,6874600,24.206531
2016-10-06,24.57,24.74,24.33,24.530001,6765400,24.38547
2016-10-05,24.790001,24.870001,24.629999,24.66,7409800,24.514704
2016-10-04,24.719999,24.99,24.530001,24.74,10434100,24.594232
2016-10-03,24.09,24.809999,24.040001,24.73,10974400,24.584291
2016-09-30,24.209999,24.42,24.040001,24.219999,9680400,24.077296
2016-09-29,24.17,24.41,24.01,24.040001,7997700,23.898358
2016-09-28,24.290001,24.530001,24.200001,24.309999,13911300,24.166765
2016-09-27,23.790001,24.27,23.74,24.200001,7748700,24.057415
2016-09-26,23.84,23.950001,23.60,23.790001,13316800,23.649831
2016-09-23,24.280001,24.440001,23.93,23.93,9741100,23.789005
2016-09-22,24.190001,24.48,24.09,24.299999,11647400,24.156824
2016-09-21,23.870001,24.040001,23.780001,24.00,12887000,23.858593
2016-09-20,24.10,24.110001,23.860001,23.889999,11610400,23.74924
2016-09-19,23.969999,24.07,23.809999,23.93,13479700,23.789005
2016-09-16,23.48,23.940001,23.33,23.90,27403500,23.759181
