Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,180.029999,183.25,180.020004,183.119995,1544700,183.119995
2017-02-02,180.75,181.309998,179.110001,180.360001,1129600,180.360001
2017-02-01,181.309998,182.440002,180.149994,181.029999,1244300,181.029999
2017-01-31,181.139999,181.470001,178.899994,181.080002,2235800,181.080002
2017-01-30,185.229996,186.309998,180.679993,182.470001,2802800,182.470001
2017-01-27,176.309998,187.369995,175.699997,185.139999,4340200,185.139999
2017-01-26,175.50,177.619995,175.25,177.300003,1844700,177.300003
2017-01-25,176.419998,177.199997,172.429993,175.320007,2656100,175.320007
2017-01-24,176.339996,178.419998,175.850006,177.25,1213800,177.25
2017-01-23,178.520004,179.190002,176.100006,177.229996,1265500,177.229996
2017-01-20,178.309998,178.919998,176.850006,178.279999,1755400,178.279999
2017-01-19,177.00,178.360001,175.899994,177.809998,1523600,177.809998
2017-01-18,175.169998,176.089996,174.300003,175.990005,949900,175.990005
2017-01-17,177.00,177.990005,174.970001,175.970001,1202200,175.210006
2017-01-13,176.770004,178.080002,176.410004,177.889999,952900,177.121712
2017-01-12,177.229996,177.229996,173.600006,176.520004,1275700,175.757633
2017-01-11,176.330002,177.110001,175.270004,177.070007,1425700,176.305261
2017-01-10,176.770004,177.899994,175.75,176.360001,1094600,175.598321
2017-01-09,176.600006,177.50,175.710007,176.070007,1072100,175.30958
2017-01-06,176.00,177.770004,175.740005,177.460007,998600,176.693576
2017-01-05,175.779999,178.360001,175.100006,176.139999,1279700,175.37927
2017-01-04,176.139999,176.259995,174.210007,175.539993,1238500,174.781855
2017-01-03,174.389999,176.720001,174.259995,175.449997,1321800,174.692247
2016-12-30,173.75,174.270004,171.649994,172.660004,1192200,171.914304
2016-12-29,173.550003,174.070007,172.350006,173.210007,967800,172.461931
2016-12-28,174.699997,175.309998,172.940002,173.050003,1182500,172.302619
2016-12-27,175.949997,176.360001,173.970001,174.580002,999300,173.826009
2016-12-23,173.889999,175.460007,173.830002,175.25,685100,174.493114
2016-12-22,174.559998,175.089996,173.880005,174.529999,904700,173.776222
2016-12-21,175.600006,175.919998,174.020004,174.100006,944400,173.348087
2016-12-20,174.960007,176.070007,174.110001,175.259995,1185600,174.503065
2016-12-19,175.00,175.75,173.610001,174.630005,1358800,173.875797
2016-12-16,174.470001,176.399994,173.860001,174.410004,3017400,173.656746
2016-12-15,173.339996,175.860001,173.339996,174.119995,1193700,173.367989
2016-12-14,174.490005,175.50,173.509995,173.740005,1721100,172.989641
2016-12-13,174.610001,176.279999,173.529999,174.309998,1462800,173.557171
2016-12-12,172.220001,174.130005,168.00,173.740005,2961300,172.989641
2016-12-09,173.429993,175.639999,173.279999,175.389999,1495400,174.632509
2016-12-08,178.080002,178.130005,173.440002,173.669998,2366100,172.919936
2016-12-07,178.100006,178.470001,176.669998,178.429993,1941800,177.659373
2016-12-06,177.589996,178.770004,176.339996,178.089996,1923500,177.320845
2016-12-05,179.800003,180.089996,178.25,178.520004,1744600,177.748995
2016-12-02,176.50,178.729996,176.300003,178.669998,1716000,177.898342
2016-12-01,175.809998,177.389999,175.589996,176.399994,1691600,175.638141
2016-11-30,175.419998,176.449997,174.699997,175.350006,2326600,174.592688
2016-11-29,172.970001,175.699997,172.970001,175.130005,1640300,174.373637
2016-11-28,172.240005,173.550003,172.00,172.669998,1835400,171.924255
2016-11-25,170.779999,172.229996,170.460007,172.080002,627000,171.336807
2016-11-23,170.399994,171.190002,169.869995,170.550003,1432500,169.813416
2016-11-22,169.699997,170.380005,168.419998,170.179993,1446400,169.445004
2016-11-21,166.949997,168.699997,166.809998,168.429993,1524000,167.702562
2016-11-18,165.509995,167.360001,164.970001,166.619995,1596900,165.900381
2016-11-17,165.820007,166.910004,165.220001,165.630005,1553300,164.914667
2016-11-16,167.720001,167.889999,165.289993,165.839996,1611700,165.123751
2016-11-15,169.970001,170.820007,166.369995,168.020004,2508500,167.294344
2016-11-14,169.860001,171.190002,168.559998,170.190002,2589700,169.45497
2016-11-11,165.990005,168.600006,164.089996,168.550003,1725600,167.822054
2016-11-10,162.470001,166.820007,162.470001,166.509995,3251800,165.790856
2016-11-09,157.669998,163.559998,157.669998,162.089996,5323100,161.389947
2016-11-08,152.259995,154.330002,152.059998,153.779999,1216900,153.115839
2016-11-07,151.309998,152.429993,150.899994,152.389999,1425300,151.731843
2016-11-04,150.029999,151.100006,149.669998,149.809998,1059600,149.162984
2016-11-03,150.00,150.490005,148.759995,150.029999,1461200,149.382035
