Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,56.25,57.060001,56.130001,56.580002,5344500,56.387372
2017-02-02,56.459999,56.59,55.700001,56.290001,6183400,56.098358
2017-02-01,57.18,57.23,55.41,56.23,7083000,56.038561
2017-01-31,56.73,56.779999,55.810001,56.57,5849500,56.377404
2017-01-30,58.02,58.099998,55.369999,56.48,10361100,56.28771
2017-01-27,57.939999,58.470001,57.75,58.209999,6893000,58.01182
2017-01-26,57.459999,58.779999,57.459999,58.060001,8989800,57.862333
2017-01-25,56.900002,57.700001,56.759998,57.41,9837100,57.214544
2017-01-24,55.240002,56.790001,55.09,56.619999,11276700,56.427233
2017-01-23,55.00,55.200001,53.919998,54.799999,17718700,54.613429
2017-01-20,56.119999,56.84,55.990002,56.450001,14793600,56.257813
2017-01-19,55.07,55.400002,54.779999,55.34,9144400,55.151592
2017-01-18,54.50,55.299999,54.43,55.130001,6156300,54.942308
2017-01-17,54.669998,55.060001,54.189999,55.009998,7712600,54.822714
2017-01-13,54.700001,55.189999,54.490002,54.540001,5995600,54.354316
2017-01-12,55.799999,55.849998,55.07,55.18,5954000,54.992137
2017-01-11,55.09,55.610001,54.689999,55.389999,9995100,55.201421
2017-01-10,56.049999,56.060001,54.619999,54.639999,9774100,54.453974
2017-01-09,56.099998,56.330002,55.810001,56.07,9080500,55.879106
2017-01-06,56.23,56.98,55.91,56.66,7899500,56.467098
2017-01-05,56.189999,56.880001,56.040001,56.209999,7083300,56.018629
2017-01-04,55.610001,56.150002,55.490002,55.889999,6265900,55.699719
2017-01-03,54.959999,56.330002,54.950001,55.68,10531700,55.490435
2016-12-30,54.029999,54.360001,53.610001,54.09,4655700,53.905848
2016-12-29,54.139999,54.459999,53.84,54.040001,4237500,53.856019
2016-12-28,55.110001,55.220001,54.18,54.299999,4956800,54.115132
2016-12-27,55.02,55.540001,54.700001,54.91,3609800,54.723056
2016-12-23,55.040001,55.259998,54.630001,54.84,3168000,54.653294
2016-12-22,54.630001,55.419998,54.630001,55.07,5370500,54.882511
2016-12-21,53.759998,55.279999,53.349998,54.959999,10087800,54.772885
2016-12-20,54.150002,54.25,53.119999,53.330002,8164300,53.148437
2016-12-19,53.610001,54.029999,53.43,53.720001,5563800,53.537108
2016-12-16,54.23,54.279999,53.75,53.990002,12707800,53.80619
2016-12-15,53.509998,54.02,53.130001,53.790001,8359300,53.60687
2016-12-14,54.23,54.560001,53.41,53.509998,9068000,53.32782
2016-12-13,54.59,55.560001,54.27,54.900002,8600700,54.713091
2016-12-12,55.049999,56.080002,54.360001,54.490002,10575100,54.304487
2016-12-09,54.50,54.509998,53.77,54.200001,6003100,54.015474
2016-12-08,53.759998,54.490002,53.330002,54.43,9037500,54.24469
2016-12-07,54.02,54.50,52.889999,53.540001,8987100,53.357721
2016-12-06,53.25,54.27,52.91,54.02,9056100,53.836086
2016-12-05,54.380001,54.740002,53.720001,53.900002,9235300,53.716496
2016-12-02,53.25,54.52,53.110001,54.169998,7174900,53.806185
2016-12-01,54.080002,54.799999,53.189999,53.240002,11775300,52.882435
2016-11-30,47.790001,54.919998,47.790001,53.09,32232000,52.733441
2016-11-29,47.790001,48.490002,47.060001,47.790001,12332000,47.469037
2016-11-28,49.639999,49.73,48.68,48.799999,6968500,48.472252
2016-11-25,49.27,49.52,48.91,49.509998,2736300,49.177483
2016-11-23,49.419998,50.009998,49.349998,49.470001,3979200,49.137754
2016-11-22,50.43,50.490002,49.07,49.84,7699500,49.505268
2016-11-21,50.040001,50.450001,49.709999,50.099998,8011200,49.76352
2016-11-18,48.860001,49.490002,48.759998,49.310001,6663000,48.978829
2016-11-17,49.380001,49.779999,48.220001,48.599998,7953800,48.273594
2016-11-16,49.330002,49.689999,48.580002,48.759998,7835200,48.43252
2016-11-15,48.52,49.900002,48.50,49.759998,11770300,49.425804
2016-11-14,47.610001,48.540001,47.34,48.139999,8395500,47.816685
2016-11-11,48.349998,48.610001,47.209999,48.009998,7635100,47.687557
2016-11-10,47.689999,48.990002,47.57,48.810001,11520000,48.482187
2016-11-09,47.459999,48.25,47.119999,47.82,12189800,47.498834
2016-11-08,47.080002,47.700001,46.91,47.119999,5320300,46.803535
2016-11-07,46.810001,47.459999,46.810001,47.439999,5504400,47.121385
2016-11-04,46.459999,46.84,45.75,46.380001,7031600,46.068507
2016-11-03,45.939999,46.610001,45.84,46.580002,7378000,46.267164
2016-11-02,45.509998,46.220001,45.080002,45.93,8158100,45.621528
2016-11-01,46.369999,46.68,45.360001,46.23,6869900,45.919513
2016-10-31,46.419998,46.68,45.91,46.00,7931200,45.691058
2016-10-28,47.599998,47.799999,46.060001,46.580002,10411000,46.267164
2016-10-27,47.900002,48.25,47.50,47.549999,6001200,47.230647
2016-10-26,47.209999,48.50,46.849998,47.619999,8619700,47.300177
2016-10-25,48.220001,48.84,47.57,47.77,7760200,47.449171
2016-10-24,48.540001,48.689999,47.759998,48.240002,7399100,47.916015
2016-10-21,48.360001,48.779999,48.09,48.43,6659000,48.104738
2016-10-20,48.889999,49.509998,48.43,48.75,8613000,48.422589
2016-10-19,47.700001,50.23,47.700001,49.07,19236500,48.740439
2016-10-18,46.970001,47.279999,46.299999,47.07,9834100,46.753871
2016-10-17,46.950001,47.349998,45.98,46.32,8169300,46.008908
2016-10-14,47.459999,47.830002,46.84,46.970001,7353400,46.654544
2016-10-13,46.380001,47.959999,46.119999,47.02,7327900,46.704208
2016-10-12,46.639999,47.18,46.25,46.959999,7565500,46.64461
2016-10-11,46.91,47.169998,46.290001,46.639999,9505000,46.326759
2016-10-10,46.790001,47.639999,46.759998,47.259998,8799400,46.942594
2016-10-07,46.380001,46.849998,45.98,46.259998,7014500,45.94931
2016-10-06,46.040001,46.400002,45.549999,46.369999,7624000,46.058572
2016-10-05,45.200001,46.07,44.939999,45.720001,7529500,45.41294
2016-10-04,44.91,45.00,44.23,44.59,5035900,44.290528
2016-10-03,45.110001,45.189999,44.540001,44.900002,6221400,44.598447
2016-09-30,44.540001,45.080002,44.07,44.880001,9195300,44.578581
2016-09-29,42.889999,44.73,42.889999,44.18,15139000,43.883282
2016-09-28,41.110001,42.959999,40.450001,42.790001,12551900,42.502618
2016-09-27,40.919998,41.09,40.119999,40.950001,11842900,40.674975
2016-09-26,41.98,42.310001,41.18,41.380001,9322500,41.102088
2016-09-23,42.290001,43.040001,41.669998,41.84,7191700,41.558997
2016-09-22,43.25,43.630001,42.599998,42.650002,5924900,42.363558
2016-09-21,41.669998,42.84,41.610001,42.720001,7610200,42.433088
2016-09-20,41.310001,41.630001,41.009998,41.259998,7771300,40.982891
2016-09-19,41.459999,41.860001,41.27,41.279999,6836500,41.002757
2016-09-16,40.77,41.349998,40.740002,41.040001,9673200,40.764371
2016-09-15,41.389999,42.119999,41.209999,41.77,6820400,41.489468
2016-09-14,40.849998,41.73,40.630001,41.259998,8061100,40.982891
2016-09-13,41.810001,41.959999,40.599998,41.110001,11877300,40.8339
2016-09-12,41.599998,42.740002,41.52,42.400002,6986400,42.115238
2016-09-09,43.720001,43.759998,41.950001,41.950001,9520000,41.668259
2016-09-08,43.919998,44.349998,43.48,44.119999,6212600,43.823683
2016-09-07,43.700001,43.98,43.200001,43.57,5173500,43.277378
2016-09-06,43.529999,43.900002,43.130001,43.73,6003200,43.436303
2016-09-02,43.459999,44.09,43.290001,43.32,5994000,43.029057
2016-09-01,43.009998,43.290001,42.57,43.209999,5274400,42.741003
2016-08-31,43.900002,44.279999,42.650002,43.009998,9660000,42.543173
2016-08-30,44.740002,45.189999,43.880001,44.07,8194800,43.591669
2016-08-29,44.369999,45.02,44.349998,44.740002,4474200,44.254399
2016-08-26,44.650002,45.27,44.360001,44.560001,5249700,44.076352
2016-08-25,44.509998,44.790001,44.150002,44.57,4098900,44.086242
2016-08-24,44.580002,45.16,44.139999,44.349998,6439900,43.868629
2016-08-23,45.02,45.50,44.93,44.990002,7647900,44.501685
2016-08-22,46.18,46.240002,44.869999,45.080002,11337300,44.590709
2016-08-19,46.220001,46.900002,46.040001,46.849998,8841200,46.341494
2016-08-18,45.439999,46.549999,45.380001,46.459999,12196700,45.955728
2016-08-17,44.59,45.220001,44.439999,45.099998,6190300,44.610488
2016-08-16,44.560001,44.779999,44.200001,44.619999,8288200,44.135699
2016-08-15,44.049999,44.73,44.02,44.450001,4436100,43.967545
2016-08-12,44.139999,44.400002,43.669998,43.84,4345100,43.364166
2016-08-11,43.939999,44.419998,43.869999,44.080002,5273300,43.601562
2016-08-10,44.200001,44.389999,43.650002,43.759998,5182300,43.285032
2016-08-09,44.490002,44.529999,43.849998,44.049999,4516400,43.571886
2016-08-08,43.98,45.049999,43.939999,44.259998,6606000,43.779605
2016-08-05,43.110001,43.880001,42.889999,43.709999,6442700,43.235576
2016-08-04,42.709999,43.299999,42.549999,42.990002,5156300,42.523393
2016-08-03,42.009998,42.939999,41.689999,42.939999,7347000,42.473933
2016-08-02,42.50,42.73,41.48,42.060001,7866600,41.603487
2016-08-01,43.419998,43.439999,41.950001,42.279999,8451000,41.821096
2016-07-29,42.27,43.799999,42.169998,43.66,7437300,43.186119
2016-07-28,42.810001,43.400002,42.509998,42.77,7411800,42.30578
2016-07-27,43.200001,43.709999,42.599998,42.919998,6385800,42.454149
2016-07-26,42.349998,43.310001,42.349998,43.240002,7246500,42.77068
2016-07-25,43.439999,43.48,42.389999,42.540001,8241700,42.078277
2016-07-22,43.830002,43.91,42.82,43.830002,8900200,43.354276
2016-07-21,44.279999,44.75,43.25,43.540001,9210500,43.067423
2016-07-20,44.919998,44.93,43.91,44.279999,16067200,43.799389
2016-07-19,45.310001,45.52,44.77,44.990002,9756100,44.501685
2016-07-18,45.169998,45.610001,44.900002,45.610001,6105900,45.114955
2016-07-15,45.970001,46.09,45.279999,45.459999,5704900,44.966581
2016-07-14,45.900002,46.09,45.66,45.810001,6803700,45.312785
2016-07-13,45.810001,46.07,44.709999,45.209999,9077500,44.719295
2016-07-12,45.189999,46.48,45.099998,46.029999,11462700,45.530394
2016-07-11,45.41,45.889999,44.459999,44.48,9053800,43.997219
2016-07-08,44.279999,45.32,44.139999,45.029999,10482100,44.541248
2016-07-07,44.02,44.93,43.209999,43.549999,8516300,43.077312
2016-07-06,43.360001,43.709999,42.950001,43.650002,8206000,43.176229
2016-07-05,44.740002,44.849998,42.919998,43.529999,12375700,43.057529
2016-07-01,45.200001,45.84,45.16,45.560001,7718600,45.065498
2016-06-30,44.48,45.380001,44.34,45.290001,9742100,44.798428
2016-06-29,43.790001,45.02,43.560001,44.59,9788900,44.106025
2016-06-28,42.630001,43.459999,42.43,43.27,9393500,42.800353
2016-06-27,43.290001,43.50,41.700001,41.880001,12223200,41.42544
2016-06-24,43.810001,44.650002,43.560001,43.919998,12651400,43.443295
