Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,77.470001,77.879997,76.709999,77.230003,3836300,76.713747
2017-02-02,76.989998,77.910004,76.550003,77.389999,3830900,76.872673
2017-02-01,77.889999,78.57,76.910004,77.599998,4959200,77.081269
2017-01-31,74.25,77.279999,74.00,77.029999,6964100,76.515079
2017-01-30,75.089996,75.18,74.25,74.699997,5909600,74.200653
2017-01-27,74.919998,75.400002,74.510002,75.379997,3132800,74.876108
2017-01-26,74.980003,75.349998,74.540001,74.580002,3748000,74.08146
2017-01-25,75.120003,75.599998,74.269997,74.849998,4830800,74.349652
2017-01-24,76.199997,76.43,74.169998,74.849998,6594300,74.349652
2017-01-23,76.239998,76.879997,76.160004,76.32,5055100,75.809826
2017-01-20,77.019997,77.410004,76.470001,76.809998,4371200,76.296549
2017-01-19,77.470001,77.620003,76.760002,76.839996,4439200,76.326347
2017-01-18,77.32,77.709999,76.879997,77.529999,3360300,77.011737
2017-01-17,77.059998,77.059998,75.870003,76.849998,4913300,76.336282
2017-01-13,76.919998,78.120003,76.379997,77.400002,5602600,76.882609
2017-01-12,74.849998,77.50,74.760002,77.150002,11900700,76.63428
2017-01-11,76.510002,76.919998,74.00,75.260002,7701700,74.756915
2017-01-10,76.440002,76.559998,75.809998,76.269997,3559400,75.760158
2017-01-09,75.669998,76.620003,75.510002,76.269997,3204100,75.760158
2017-01-06,75.459999,76.07,75.029999,75.669998,2296500,75.16417
2017-01-05,74.93,77.870003,74.43,75.589996,3310800,75.084703
2017-01-04,74.949997,75.00,74.379997,74.720001,3021600,74.220523
2017-01-03,73.940002,74.669998,73.540001,74.599998,3622700,74.101323
2016-12-30,73.470001,73.75,73.230003,73.550003,2933900,73.058346
2016-12-29,73.389999,73.870003,73.239998,73.559998,3031600,73.068274
2016-12-28,73.660004,73.779999,72.970001,73.059998,3256800,72.571616
2016-12-27,74.059998,74.459999,73.68,73.809998,2786700,73.316603
2016-12-23,73.480003,74.00,73.260002,73.790001,2570100,73.29674
2016-12-22,73.160004,73.480003,72.68,73.260002,4827500,72.770284
2016-12-21,73.330002,73.889999,73.099998,73.25,5054100,72.760349
2016-12-20,73.650002,74.099998,73.00,73.379997,6001500,72.889477
2016-12-19,73.480003,74.489998,73.300003,73.419998,6102400,72.92921
2016-12-16,72.860001,73.709999,71.760002,73.309998,17584700,72.819945
2016-12-15,70.370003,71.589996,69.660004,71.370003,14320800,70.892918
2016-12-14,68.419998,68.919998,67.540001,67.669998,6140300,67.217647
2016-12-13,67.989998,68.889999,67.989998,68.639999,6010900,68.181164
2016-12-12,67.980003,68.540001,67.419998,67.610001,5273700,67.158051
2016-12-09,67.379997,68.169998,67.220001,67.849998,4350800,67.396444
2016-12-08,67.050003,67.269997,66.389999,67.190002,4811400,66.74086
2016-12-07,67.25,67.379997,66.559998,67.379997,5835900,66.929585
2016-12-06,67.199997,67.93,67.129997,67.800003,4617200,67.346783
2016-12-05,68.160004,68.309998,66.739998,67.260002,7286000,66.810392
2016-12-02,66.300003,68.389999,65.959999,67.709999,12272200,67.257381
2016-12-01,67.290001,67.300003,65.660004,65.970001,7168100,65.529014
2016-11-30,67.300003,67.82,66.809998,67.120003,9085300,66.671328
2016-11-29,67.57,67.639999,66.480003,67.150002,8930000,66.701127
2016-11-28,68.43,68.43,67.099998,67.199997,12507700,66.750788
2016-11-25,68.529999,69.139999,67.779999,69.120003,8620700,68.657959
2016-11-23,64.339996,68.43,64.18,68.00,53877200,67.545443
2016-11-22,77.809998,77.809998,75.50,75.989998,5208800,75.48203
2016-11-21,76.800003,77.040001,76.099998,76.639999,4060300,76.127687
2016-11-18,77.580002,77.919998,76.519997,76.669998,4571600,76.157485
2016-11-17,77.00,77.809998,76.730003,77.709999,4519200,77.190534
2016-11-16,77.519997,77.519997,76.82,76.940002,1922300,76.425685
2016-11-15,77.43,77.540001,76.18,77.32,3097600,76.803142
2016-11-14,78.010002,78.239998,76.690002,77.019997,3221700,76.505144
2016-11-11,77.970001,78.089996,76.790001,77.669998,3072700,77.150801
2016-11-10,78.959999,79.699997,78.00,78.339996,6904800,77.81632
2016-11-09,77.150002,79.300003,76.580002,78.389999,7332700,77.359397
2016-11-08,73.57,74.470001,73.360001,74.019997,2690800,73.046847
2016-11-07,73.220001,73.93,73.050003,73.879997,4969400,72.908688
2016-11-04,72.120003,73.029999,71.669998,72.489998,3617200,71.536963
2016-11-03,72.809998,73.279999,71.879997,72.110001,4843200,71.161962
2016-11-02,73.150002,73.489998,72.639999,72.650002,4433900,71.694864
2016-11-01,73.809998,73.980003,71.849998,72.980003,8190500,72.020527
2016-10-31,74.629997,74.739998,73.800003,73.839996,3562100,72.869213
2016-10-28,75.620003,75.68,73.860001,74.529999,5651500,73.550144
2016-10-27,77.360001,77.419998,76.129997,76.160004,3789900,75.158719
2016-10-26,77.419998,77.650002,76.370003,76.760002,2988700,75.75083
2016-10-25,76.879997,78.279999,75.50,77.75,8496000,76.727812
2016-10-24,78.489998,78.690002,77.440002,77.57,4363200,76.550178
2016-10-21,78.540001,78.779999,78.080002,78.25,3215000,77.221238
2016-10-20,78.730003,79.110001,78.389999,78.739998,2661900,77.704794
2016-10-19,78.959999,79.330002,78.529999,78.559998,2988500,77.52716
2016-10-18,79.089996,79.150002,78.50,78.769997,3218300,77.734398
