Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,37.529999,37.91,37.52,37.82,1520600,37.82
2017-02-02,36.990002,37.52,36.91,37.509998,747900,37.509998
2017-02-01,37.369999,37.52,36.799999,36.98,1191100,36.98
2017-01-31,36.880001,37.709999,36.810001,37.650002,1666800,37.650002
2017-01-30,37.07,37.080002,36.639999,36.860001,911600,36.860001
2017-01-27,36.84,36.900002,36.560001,36.889999,1124000,36.889999
2017-01-26,36.880001,37.200001,36.77,36.950001,750400,36.635001
2017-01-25,36.869999,37.009998,36.619999,36.889999,1015700,36.575512
2017-01-24,36.82,37.09,36.709999,36.950001,1370700,36.635001
2017-01-23,37.369999,37.549999,37.009998,37.029999,1096100,36.714318
2017-01-20,37.43,37.48,37.16,37.360001,718900,37.041506
2017-01-19,37.490002,37.720001,37.220001,37.279999,723700,36.962186
2017-01-18,37.700001,37.82,37.59,37.700001,937200,37.378608
2017-01-17,37.619999,37.990002,37.529999,37.75,1111600,37.428181
2017-01-13,37.580002,37.700001,37.32,37.490002,949600,37.170399
2017-01-12,37.75,37.810001,37.389999,37.650002,812400,37.329035
2017-01-11,37.330002,37.82,37.169998,37.75,706200,37.428181
2017-01-10,37.27,37.389999,37.00,37.240002,572300,36.92253
2017-01-09,37.860001,38.060001,37.240002,37.279999,807400,36.962186
2017-01-06,37.959999,38.080002,37.77,37.799999,1331600,37.477754
2017-01-05,38.220001,38.290001,37.700001,38.110001,1334700,37.785112
2017-01-04,38.009998,38.259998,37.98,38.16,1032800,37.834685
2017-01-03,37.939999,38.080002,37.619999,37.93,866200,37.606647
2016-12-30,38.209999,38.34,37.759998,37.889999,771700,37.566987
2016-12-29,37.66,38.240002,37.549999,38.189999,627300,37.864428
2016-12-28,37.990002,38.040001,37.419998,37.540001,863200,37.219972
2016-12-27,37.759998,38.099998,37.639999,38.00,412100,37.676049
2016-12-23,37.849998,37.950001,37.709999,37.860001,293200,37.537244
2016-12-22,37.650002,37.860001,37.549999,37.810001,668300,37.487671
2016-12-21,37.810001,38.060001,37.669998,37.689999,583700,37.368691
2016-12-20,37.630001,37.919998,37.52,37.799999,769500,37.477754
2016-12-19,37.880001,37.880001,37.349998,37.77,551300,37.448011
2016-12-16,37.07,37.650002,37.07,37.610001,1867300,37.289375
2016-12-15,36.48,37.02,36.330002,37.009998,649100,36.694488
2016-12-14,37.650002,37.84,36.529999,36.619999,1235500,36.307813
2016-12-13,37.349998,37.610001,37.150002,37.509998,946700,37.190225
2016-12-12,36.669998,37.290001,36.66,37.209999,721100,36.892783
2016-12-09,36.389999,36.880001,36.380001,36.830002,989300,36.516026
2016-12-08,36.240002,36.529999,35.93,36.439999,837400,36.129347
2016-12-07,36.330002,36.580002,36.259998,36.470001,969300,36.159094
