Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,8.01,8.04,7.95,7.97,605000,7.97
2017-02-02,8.05,8.08,8.00,8.01,699700,8.01
2017-02-01,7.97,8.04,7.96,8.02,922800,8.02
2017-01-31,7.72,7.76,7.71,7.74,729100,7.74
2017-01-30,7.64,7.68,7.61,7.67,497900,7.67
2017-01-27,7.76,7.77,7.56,7.60,496100,7.60
2017-01-26,7.78,7.80,7.76,7.79,517200,7.79
2017-01-25,7.60,7.69,7.60,7.69,565600,7.69
2017-01-24,7.55,7.67,7.54,7.63,930500,7.63
2017-01-23,7.38,7.41,7.33,7.39,1164700,7.39
2017-01-20,7.21,7.28,7.18,7.23,1043900,7.23
2017-01-19,7.21,7.28,7.19,7.23,1382100,7.23
2017-01-18,7.19,7.21,7.04,7.13,3441300,7.13
2017-01-17,9.95,10.00,9.94,9.99,284300,9.99
2017-01-13,9.92,9.95,9.87,9.93,351000,9.93
2017-01-12,9.97,9.99,9.90,9.94,302200,9.94
2017-01-11,9.88,9.99,9.86,9.96,228900,9.96
2017-01-10,9.94,9.98,9.91,9.93,228800,9.93
2017-01-09,9.94,9.99,9.93,9.94,308700,9.94
2017-01-06,9.99,10.04,9.98,10.02,352500,10.02
2017-01-05,9.97,10.13,9.95,10.09,541300,10.09
2017-01-04,9.85,9.94,9.85,9.93,643700,9.93
2017-01-03,10.01,10.02,9.96,9.99,391600,9.99
2016-12-30,10.01,10.07,9.95,9.99,272200,9.99
2016-12-29,9.98,10.01,9.95,9.98,309000,9.98
2016-12-28,9.94,9.97,9.88,9.88,305000,9.88
2016-12-27,10.02,10.07,10.00,10.02,167800,10.02
2016-12-23,10.00,10.02,9.98,9.99,155500,9.99
2016-12-22,10.07,10.09,10.02,10.03,397400,10.03
2016-12-21,10.22,10.23,10.14,10.15,382600,10.15
2016-12-20,10.11,10.22,10.09,10.20,560900,10.20
2016-12-19,10.16,10.22,10.14,10.18,477600,10.18
2016-12-16,10.17,10.24,10.14,10.20,1338500,10.20
2016-12-15,10.12,10.18,10.08,10.10,535200,10.10
2016-12-14,10.21,10.31,10.12,10.13,503700,10.13
2016-12-13,10.17,10.21,10.13,10.14,525500,10.14
2016-12-12,10.06,10.09,9.98,10.03,526300,10.03
2016-12-09,9.87,10.11,9.86,10.10,545300,10.10
2016-12-08,9.83,9.84,9.73,9.81,528500,9.81
2016-12-07,9.83,9.94,9.80,9.92,434000,9.92
2016-12-06,9.99,10.07,9.97,10.04,295900,10.04
2016-12-05,9.99,10.02,9.92,9.95,323400,9.95
2016-12-02,9.78,9.98,9.78,9.95,665400,9.95
2016-12-01,9.85,9.88,9.75,9.78,415500,9.78
2016-11-30,9.88,9.93,9.83,9.87,486300,9.87
2016-11-29,9.63,9.71,9.63,9.68,224700,9.68
2016-11-28,9.69,9.69,9.57,9.58,340900,9.58
2016-11-25,9.72,9.82,9.71,9.76,174400,9.76
2016-11-23,9.59,9.61,9.54,9.61,344400,9.61
2016-11-22,9.63,9.65,9.58,9.65,508300,9.65
2016-11-21,9.71,9.78,9.69,9.78,440400,9.78
2016-11-18,9.43,9.45,9.39,9.41,308700,9.41
2016-11-17,9.46,9.49,9.42,9.45,312100,9.45
2016-11-16,9.40,9.48,9.40,9.44,348600,9.44
2016-11-15,9.43,9.48,9.38,9.47,468700,9.47
2016-11-14,9.18,9.40,9.17,9.38,500100,9.38
2016-11-11,9.33,9.39,9.29,9.32,356400,9.32
2016-11-10,9.44,9.49,9.33,9.39,481500,9.39
2016-11-09,9.13,9.32,9.13,9.30,379300,9.30
2016-11-08,9.11,9.26,9.11,9.23,535200,9.23
2016-11-07,9.05,9.08,9.03,9.06,397600,9.06
2016-11-04,9.05,9.12,8.99,8.99,535900,8.99
2016-11-03,9.17,9.18,8.99,9.04,954100,9.04
2016-11-02,9.26,9.28,9.18,9.19,334900,9.19
2016-11-01,9.16,9.17,9.09,9.13,413800,9.13
2016-10-31,9.21,9.24,9.14,9.23,395100,9.23
2016-10-28,9.25,9.30,9.23,9.25,565200,9.25
2016-10-27,9.07,9.08,9.01,9.03,601200,9.03
2016-10-26,9.10,9.18,9.01,9.09,1517900,9.09
2016-10-25,9.23,9.23,9.05,9.06,1398000,9.06
2016-10-24,9.35,9.37,9.25,9.33,565700,9.33
2016-10-21,9.47,9.52,9.42,9.49,310100,9.49
2016-10-20,9.31,9.43,9.31,9.39,276200,9.39
2016-10-19,9.28,9.38,9.24,9.33,274400,9.33
2016-10-18,9.19,9.20,9.06,9.17,535200,9.17
2016-10-17,9.36,9.36,9.12,9.27,805200,9.27
2016-10-14,10.18,10.21,10.10,10.10,371200,10.10
2016-10-13,9.72,9.98,9.70,9.95,351400,9.95
2016-10-12,9.88,9.93,9.83,9.86,317800,9.86
2016-10-11,10.03,10.06,9.87,9.89,435600,9.89
2016-10-10,10.03,10.10,10.01,10.02,257200,10.02
2016-10-07,10.08,10.10,9.96,10.03,382200,10.03
2016-10-06,10.11,10.14,10.03,10.05,318000,10.05
2016-10-05,10.16,10.21,10.13,10.15,356200,10.15
2016-10-04,10.25,10.37,10.15,10.16,753100,10.16
2016-10-03,9.80,9.89,9.75,9.86,636000,9.86
2016-09-30,9.90,9.90,9.78,9.79,559000,9.79
2016-09-29,9.85,9.86,9.66,9.67,551700,9.67
2016-09-28,9.81,9.91,9.77,9.89,505700,9.89
2016-09-27,9.58,9.84,9.56,9.81,690000,9.81
2016-09-26,9.48,9.51,9.39,9.46,836000,9.46
2016-09-23,9.80,9.90,9.78,9.85,868100,9.85
2016-09-22,10.16,10.23,10.14,10.20,944800,10.20
2016-09-21,10.17,10.24,10.10,10.24,494900,10.24
2016-09-20,10.31,10.32,10.21,10.22,395100,10.22
2016-09-19,10.37,10.45,10.35,10.37,354000,10.37
2016-09-16,10.27,10.28,10.16,10.20,676500,10.20
2016-09-15,10.24,10.34,10.21,10.32,405500,10.32
2016-09-14,10.26,10.37,10.23,10.30,349300,10.30
2016-09-13,10.36,10.40,10.24,10.27,378000,10.27
2016-09-12,10.31,10.43,10.23,10.41,521000,10.41
2016-09-09,10.50,10.53,10.37,10.38,509000,10.38
2016-09-08,10.64,10.69,10.55,10.58,919600,10.58
2016-09-07,11.61,11.65,11.45,11.49,319200,11.49
2016-09-06,11.63,11.68,11.58,11.62,266600,11.62
2016-09-02,11.60,11.69,11.59,11.67,447700,11.67
2016-09-01,11.44,11.46,11.33,11.40,290700,11.40
2016-08-31,11.31,11.39,11.29,11.36,286200,11.36
2016-08-30,11.27,11.33,11.25,11.28,346000,11.28
2016-08-29,11.24,11.26,11.23,11.25,181700,11.25
2016-08-26,11.41,11.53,11.22,11.28,364400,11.28
2016-08-25,11.30,11.37,11.28,11.30,206900,11.30
2016-08-24,11.44,11.50,11.34,11.36,192700,11.36
2016-08-23,11.49,11.53,11.43,11.44,338300,11.44
2016-08-22,11.40,11.46,11.37,11.42,238000,11.42
2016-08-19,11.26,11.37,11.25,11.36,396100,11.36
2016-08-18,11.31,11.36,11.24,11.33,277100,11.33
2016-08-17,11.27,11.35,11.21,11.33,290800,11.33
2016-08-16,11.55,11.60,11.51,11.56,402300,11.322001
2016-08-15,11.53,11.57,11.52,11.55,321800,11.312206
2016-08-12,11.61,11.65,11.52,11.54,282100,11.302412
2016-08-11,11.45,11.53,11.45,11.51,278800,11.27303
2016-08-10,11.49,11.57,11.43,11.47,729000,11.233853
2016-08-09,11.46,11.60,11.45,11.53,229400,11.292618
2016-08-08,11.60,11.65,11.57,11.61,232100,11.37097
2016-08-05,11.47,11.56,11.47,11.52,317300,11.282824
2016-08-04,11.77,11.80,11.68,11.70,361000,11.459118
2016-08-03,11.69,11.80,11.67,11.74,362400,11.498294
2016-08-02,11.81,11.81,11.71,11.77,396500,11.527677
2016-08-01,11.57,11.74,11.50,11.60,417700,11.361177
2016-07-29,11.35,11.76,11.35,11.69,907100,11.449323
2016-07-28,12.85,12.87,12.76,12.78,225400,12.516882
2016-07-27,12.87,12.90,12.73,12.81,322900,12.546265
2016-07-26,12.75,12.81,12.69,12.73,249600,12.467912
2016-07-25,12.75,12.84,12.73,12.80,297200,12.536471
2016-07-22,12.74,12.78,12.71,12.73,192300,12.467912
2016-07-21,12.80,12.86,12.70,12.74,256600,12.477706
2016-07-20,12.74,12.81,12.69,12.77,220300,12.507089
2016-07-19,12.76,12.76,12.67,12.70,217200,12.438529
2016-07-18,12.73,12.86,12.72,12.76,392500,12.497295
2016-07-15,12.79,12.81,12.70,12.76,214600,12.497295
2016-07-14,12.74,12.80,12.72,12.78,392700,12.516882
2016-07-13,12.83,12.90,12.76,12.79,335600,12.526677
2016-07-12,12.73,12.91,12.66,12.84,456700,12.575647
2016-07-11,12.46,12.62,12.46,12.58,321300,12.321
2016-07-08,12.23,12.37,12.21,12.29,595900,12.036971
2016-07-07,12.39,12.45,12.14,12.26,914500,12.007589
2016-07-06,12.45,12.49,12.29,12.48,442500,12.223059
2016-07-05,12.64,12.73,12.57,12.69,356500,12.428735
2016-07-01,12.98,13.07,12.93,12.98,342400,12.712764
2016-06-30,12.79,12.99,12.70,12.99,482300,12.722559
2016-06-29,12.65,12.92,12.64,12.80,499100,12.536471
2016-06-28,12.18,12.25,12.10,12.24,320300,11.988
2016-06-27,12.02,12.05,11.80,11.89,533500,11.645206
