Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,9.95,10.00,9.85,9.90,32800,9.90
2017-02-02,10.05,10.05,9.70,9.95,29100,9.95
2017-02-01,10.00,10.50,9.85,10.15,97100,10.15
2017-01-31,9.70,10.00,9.65,10.00,33300,10.00
2017-01-30,9.80,9.85,9.61,9.80,32900,9.80
2017-01-27,9.90,10.00,9.85,9.85,18100,9.85
2017-01-26,9.95,9.95,9.80,9.85,8600,9.85
2017-01-25,9.95,10.00,9.80,9.90,23000,9.85
2017-01-24,9.90,10.00,9.80,9.90,31200,9.85
2017-01-23,10.10,10.10,9.85,9.85,39400,9.800253
2017-01-20,10.05,10.10,10.05,10.05,8200,9.999243
2017-01-19,10.00,10.10,9.98,10.05,15100,9.999243
2017-01-18,10.05,10.10,10.00,10.10,35400,10.048991
2017-01-17,9.95,10.10,9.90,10.05,21400,9.999243
2017-01-13,10.00,10.05,9.89,10.05,39400,9.999243
2017-01-12,9.60,10.05,9.33,10.05,32000,9.999243
2017-01-11,10.05,10.05,9.26,9.85,43900,9.800253
2017-01-10,9.55,10.20,9.30,10.00,83400,9.949495
2017-01-09,9.60,9.60,9.45,9.55,39400,9.501768
2017-01-06,9.65,9.65,9.45,9.60,15000,9.551516
2017-01-05,9.60,9.65,9.35,9.65,18600,9.601262
2017-01-04,9.30,9.65,9.10,9.50,20600,9.45202
2017-01-03,9.70,9.70,8.81,9.00,31600,8.954546
2016-12-30,9.45,9.65,9.40,9.65,23500,9.601262
2016-12-29,9.45,9.57,9.35,9.35,11400,9.302778
2016-12-28,9.60,9.60,9.40,9.50,19300,9.45202
2016-12-27,9.45,9.53,9.24,9.50,15900,9.45202
2016-12-23,9.55,9.55,9.45,9.50,6900,9.45202
2016-12-22,9.40,9.50,9.20,9.45,12600,9.402273
2016-12-21,9.30,9.50,9.29,9.35,11900,9.302778
2016-12-20,9.43,9.45,9.35,9.35,9700,9.302778
2016-12-19,9.10,9.45,9.05,9.30,16900,9.253031
2016-12-16,9.15,9.24,9.00,9.00,20600,8.954546
2016-12-15,9.35,9.40,9.20,9.25,18500,9.203283
2016-12-14,9.40,9.55,9.35,9.40,14200,9.352525
2016-12-13,9.50,9.50,9.40,9.50,10100,9.45202
2016-12-12,9.50,9.50,9.30,9.35,27300,9.302778
2016-12-09,9.20,9.90,9.11,9.65,33900,9.601262
2016-12-08,9.15,9.30,9.01,9.10,35000,9.054041
2016-12-07,9.20,9.25,9.05,9.10,3700,9.054041
2016-12-06,9.28,9.30,9.05,9.15,6300,9.103788
2016-12-05,9.10,9.51,9.05,9.30,18400,9.253031
2016-12-02,9.00,9.10,8.95,9.00,5900,8.954546
2016-12-01,9.40,9.50,9.10,9.10,121900,9.054041
2016-11-30,9.80,9.80,9.30,9.45,58200,9.402273
2016-11-29,9.95,10.00,9.60,9.70,13200,9.65101
2016-11-28,10.00,10.00,9.60,9.85,6300,9.800253
2016-11-25,9.95,10.15,9.93,10.10,21200,10.048991
2016-11-23,9.85,10.20,9.62,9.95,84200,9.899748
2016-11-22,9.75,9.85,9.25,9.75,99700,9.700758
2016-11-21,9.85,9.90,9.45,9.65,20700,9.601262
2016-11-18,10.30,10.60,9.70,9.90,59800,9.85
2016-11-17,9.10,10.75,9.05,10.55,88900,10.496718
2016-11-16,8.80,9.15,8.75,9.10,20600,9.054041
2016-11-15,8.90,9.05,8.60,9.00,16300,8.954546
2016-11-14,8.85,9.50,8.65,8.95,46800,8.904798
2016-11-11,8.70,9.20,8.45,9.20,83000,9.153535
2016-11-10,8.80,9.00,8.50,8.70,38700,8.656061
2016-11-09,8.50,8.80,8.45,8.75,18200,8.705808
2016-11-08,8.55,8.85,8.55,8.75,18900,8.705808
2016-11-07,8.90,8.90,8.60,8.85,24500,8.755556
2016-11-04,8.50,8.75,8.45,8.65,12400,8.55769
2016-11-03,8.50,8.75,8.40,8.65,91100,8.55769
2016-11-02,8.50,8.60,8.45,8.50,21600,8.409291
2016-11-01,8.40,8.65,8.30,8.55,23700,8.458757
2016-10-31,8.65,8.75,8.35,8.40,37100,8.310358
2016-10-28,8.55,8.85,8.45,8.55,34300,8.458757
2016-10-27,8.60,8.75,8.40,8.60,26800,8.508224
2016-10-26,8.45,8.80,8.43,8.55,52200,8.458757
2016-10-25,8.55,8.75,8.40,8.45,36500,8.359824
2016-10-24,8.85,8.85,8.45,8.55,10200,8.458757
2016-10-21,8.46,8.82,8.21,8.72,69000,8.626943
