Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,45.060001,45.119999,44.759998,45.02,564000,44.674386
2017-02-02,44.540001,44.869999,44.50,44.810001,520200,44.465999
2017-02-01,44.639999,44.759998,44.060001,44.560001,763700,44.217919
2017-01-31,45.009998,45.009998,44.52,44.84,602500,44.495768
2017-01-30,44.93,44.959999,44.52,44.720001,600900,44.37669
2017-01-27,45.18,45.25,44.889999,44.98,414400,44.634693
2017-01-26,45.34,45.34,45.009998,45.169998,394400,44.823233
2017-01-25,45.200001,45.50,45.139999,45.349998,572400,45.001851
2017-01-24,44.939999,45.150002,44.73,45.040001,470500,44.694233
2017-01-23,44.900002,44.98,44.599998,44.889999,413600,44.545383
2017-01-20,44.540001,45.07,44.43,45.02,769200,44.674386
2017-01-19,44.380001,44.50,44.279999,44.470001,446800,44.128609
2017-01-18,44.779999,44.880001,44.240002,44.330002,871000,43.989685
2017-01-17,44.959999,45.220001,44.73,44.810001,638400,44.465999
2017-01-13,44.93,45.189999,44.900002,45.080002,460600,44.733927
2017-01-12,44.990002,45.09,44.669998,44.98,522400,44.634693
2017-01-11,44.66,44.919998,44.50,44.880001,612500,44.535462
2017-01-10,44.580002,44.82,44.509998,44.610001,773400,44.267534
2017-01-09,44.740002,44.869999,44.529999,44.560001,794800,44.217919
2017-01-06,44.799999,44.900002,44.580002,44.82,392600,44.475921
2017-01-05,44.290001,44.869999,44.16,44.73,768400,44.386612
2017-01-04,44.080002,44.509998,43.990002,44.349998,935000,44.009528
2017-01-03,43.869999,44.099998,43.669998,43.860001,525100,43.523292
2016-12-30,44.00,44.02,43.689999,43.779999,437000,43.443904
2016-12-29,43.779999,43.970001,43.77,43.84,310200,43.503445
2016-12-28,43.860001,44.009998,43.66,43.700001,371900,43.36452
2016-12-27,43.939999,44.200001,43.939999,44.040001,206100,43.70191
2016-12-23,43.959999,44.009998,43.82,43.93,323600,43.592754
2016-12-22,44.139999,44.18,43.869999,44.029999,703000,43.691985
2016-12-21,44.279999,44.560001,44.240002,44.330002,560700,43.989685
2016-12-20,44.23,44.369999,44.139999,44.349998,599800,44.009528
2016-12-19,44.299999,44.360001,44.16,44.18,634100,43.840835
2016-12-16,44.540001,44.619999,44.299999,44.330002,898400,43.989685
2016-12-15,44.610001,44.82,44.50,44.560001,936200,44.217919
2016-12-14,45.43,45.68,44.77,44.84,1151900,44.495768
2016-12-13,45.099998,45.529999,44.880001,45.349998,727600,45.001851
2016-12-12,44.869999,45.419998,44.610001,44.889999,1092400,44.545383
2016-12-09,44.220001,44.93,44.18,44.790001,987700,44.446153
2016-12-08,44.07,44.299999,43.939999,44.27,833600,43.930144
2016-12-07,43.290001,44.150002,43.189999,44.119999,919400,43.781294
2016-12-06,43.380001,43.400002,43.07,43.310001,889300,42.977515
2016-12-05,43.400002,43.560001,43.32,43.360001,428100,43.02713
2016-12-02,43.310001,43.529999,43.220001,43.310001,595200,42.977515
2016-12-01,43.360001,43.41,42.959999,43.18,962900,42.848512
2016-11-30,43.279999,43.549999,43.16,43.209999,647700,42.87828
2016-11-29,43.110001,43.389999,43.07,43.34,618900,43.007283
2016-11-28,43.07,43.32,42.880001,43.16,701200,42.828665
2016-11-25,42.75,43.009998,42.75,42.98,274500,42.650046
2016-11-23,42.419998,42.880001,42.419998,42.580002,819100,42.253119
2016-11-22,42.50,42.77,42.470001,42.610001,570400,42.282888
2016-11-21,42.360001,42.509998,42.220001,42.450001,665100,42.124116
2016-11-18,41.860001,42.279999,41.810001,42.18,590400,41.856189
2016-11-17,41.619999,42.049999,41.540001,41.889999,1001700,41.568414
2016-11-16,41.389999,41.810001,41.389999,41.639999,544700,41.320333
2016-11-15,41.369999,41.540001,41.259998,41.50,546500,41.181409
2016-11-14,41.50,41.639999,41.349998,41.560001,686000,40.903559
2016-11-11,41.790001,41.82,41.310001,41.470001,800700,40.81498
2016-11-10,41.57,42.07,41.490002,41.799999,870100,41.139766
2016-11-09,41.09,41.810001,41.00,41.77,967800,41.110241
2016-11-08,41.400002,41.740002,41.310001,41.59,589800,40.933084
2016-11-07,41.279999,41.639999,41.130001,41.459999,1421000,40.805136
2016-11-04,40.889999,41.02,40.740002,40.889999,817800,40.24414
2016-11-03,41.00,41.18,40.830002,40.939999,829500,40.293349
2016-11-02,41.139999,41.279999,40.93,40.990002,1082100,40.342562
2016-11-01,39.630001,41.59,39.630001,41.049999,3010200,40.401612
2016-10-31,39.639999,39.869999,39.389999,39.41,1571400,38.787517
2016-10-28,39.490002,39.77,39.400002,39.490002,1031900,38.866255
2016-10-27,39.849998,39.849998,39.509998,39.57,715000,38.944989
2016-10-26,39.310001,39.91,39.23,39.669998,491100,39.043408
2016-10-25,39.759998,39.77,39.349998,39.450001,669000,38.826886
2016-10-24,39.84,39.939999,39.630001,39.709999,526900,39.082778
2016-10-21,39.400002,39.869999,39.27,39.73,488300,39.102462
2016-10-20,39.529999,39.66,39.380001,39.580002,608800,38.954834
2016-10-19,39.950001,40.049999,39.68,39.720001,740300,39.092622
2016-10-18,40.119999,40.23,39.810001,39.82,654600,39.191041
2016-10-17,39.709999,39.959999,39.700001,39.759998,706900,39.131987
2016-10-14,40.150002,40.380001,39.790001,39.799999,623300,39.171356
2016-10-13,39.549999,39.959999,39.299999,39.84,624400,39.210725
2016-10-12,39.720001,39.970001,39.619999,39.830002,599500,39.200885
2016-10-11,40.619999,40.689999,39.700001,39.779999,813600,39.151672
2016-10-10,40.689999,40.950001,40.669998,40.75,461000,40.106352
2016-10-07,40.970001,40.970001,40.32,40.50,697800,39.8603
2016-10-06,41.110001,41.299999,40.919998,40.98,644500,40.332718
2016-10-05,41.099998,41.330002,41.080002,41.200001,593500,40.549245
2016-10-04,41.419998,41.75,40.959999,41.040001,782100,40.391772
2016-10-03,41.200001,41.529999,41.150002,41.43,702800,40.775611
2016-09-30,41.110001,41.619999,40.939999,41.380001,1172700,40.726402
2016-09-29,41.139999,41.299999,40.830002,40.900002,1457200,40.253984
2016-09-28,40.93,41.27,40.849998,41.25,778500,40.598454
2016-09-27,40.73,41.150002,40.610001,40.98,781100,40.332718
2016-09-26,41.130001,41.259998,40.82,40.880001,632700,40.234299
2016-09-23,41.619999,41.73,41.310001,41.369999,1019900,40.716558
2016-09-22,41.560001,41.939999,41.310001,41.849998,971000,41.188976
2016-09-21,41.18,41.299999,40.700001,41.169998,1193100,40.519716
2016-09-20,40.849998,41.200001,40.66,41.060001,994300,40.411457
2016-09-19,40.990002,41.16,40.700001,40.740002,761200,40.096511
2016-09-16,40.299999,40.580002,40.259998,40.459999,996200,39.820931
2016-09-15,40.380001,40.959999,40.27,40.810001,762100,40.165405
2016-09-14,40.490002,40.740002,40.349998,40.419998,888700,39.781562
2016-09-13,41.09,41.09,40.41,40.48,929500,39.840616
2016-09-12,40.580002,41.50,40.41,41.299999,1090800,40.647664
2016-09-09,41.209999,41.389999,40.66,40.669998,1309500,40.027613
2016-09-08,42.07,42.07,41.59,41.700001,1161000,41.041347
2016-09-07,42.52,42.560001,42.049999,42.119999,1811600,41.454711
2016-09-06,42.490002,42.599998,42.259998,42.470001,866700,41.799185
2016-09-02,42.080002,42.419998,42.02,42.419998,646500,41.749972
