Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,7.20,7.25,7.14,7.15,8175800,7.15
2017-02-02,7.01,7.27,6.99,7.17,11247500,7.17
2017-02-01,7.03,7.08,6.92,7.07,18378100,7.07
2017-01-31,6.94,7.05,6.62,6.93,37906100,6.93
2017-01-30,6.97,6.97,6.85,6.95,10662800,6.95
2017-01-27,6.97,6.98,6.91,6.98,7658900,6.98
2017-01-26,7.02,7.06,6.89,6.96,9138600,6.96
2017-01-25,6.97,7.03,6.91,7.00,13287200,7.00
2017-01-24,6.91,6.96,6.87,6.94,12150900,6.94
2017-01-23,6.93,6.99,6.86,6.89,9483200,6.89
2017-01-20,6.95,6.98,6.89,6.94,8412000,6.94
2017-01-19,7.01,7.01,6.91,6.94,7885800,6.94
2017-01-18,6.94,7.04,6.93,7.02,11953500,7.02
2017-01-17,7.04,7.05,6.88,6.93,10565800,6.93
2017-01-13,7.00,7.08,6.98,7.05,10081300,7.05
2017-01-12,7.02,7.04,6.83,6.94,14920700,6.94
2017-01-11,7.07,7.08,6.91,7.00,16550600,7.00
2017-01-10,7.11,7.14,7.01,7.03,18189100,7.03
2017-01-09,7.07,7.12,6.96,6.97,15209000,6.97
2017-01-06,7.14,7.15,6.97,7.01,24684500,7.01
2017-01-05,7.16,7.23,6.95,7.12,28241100,7.12
2017-01-04,7.04,7.20,6.95,7.15,30748400,7.15
2017-01-03,6.53,7.00,6.46,6.89,64447600,6.89
2016-12-30,8.72,8.80,8.70,8.73,11250400,5.749999
2016-12-29,8.79,8.82,8.69,8.72,7210600,5.743413
2016-12-28,8.93,8.96,8.73,8.76,6959000,5.769759
2016-12-27,8.95,9.02,8.89,8.94,5072400,5.888316
2016-12-23,8.99,9.01,8.92,8.95,5952600,5.894902
2016-12-22,9.08,9.14,8.99,9.01,9716200,5.934421
2016-12-21,9.07,9.18,9.07,9.09,7374900,5.987113
2016-12-20,9.17,9.27,9.15,9.23,14022500,6.079324
2016-12-19,9.14,9.20,9.11,9.13,8007100,6.013459
2016-12-16,9.04,9.14,9.02,9.13,29351200,6.013459
2016-12-15,8.99,9.11,8.95,9.03,14176200,5.947594
2016-12-14,9.28,9.40,8.98,9.00,21696400,5.927835
2016-12-13,9.24,9.40,9.24,9.30,20495900,6.125429
2016-12-12,9.41,9.46,9.21,9.30,10606400,6.074055
2016-12-09,9.52,9.53,9.44,9.46,10839200,6.178555
2016-12-08,9.48,9.64,9.44,9.52,18910800,6.217742
2016-12-07,9.32,9.77,9.32,9.48,27014100,6.191617
2016-12-06,9.34,9.39,9.20,9.30,25803400,6.074055
2016-12-05,9.55,9.58,9.30,9.32,12412500,6.087117
2016-12-02,9.45,9.55,9.44,9.50,10333600,6.204679
